crawl 68[0.25 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201012/t20101210_779797.htm', 'anchor_text': u'\u201c\u5341\u4e00\u4e94\u201d\u897f\u85cf\u533b\u7597\u536b\u751f\u4e8b\u4e1a\u53d1\u5c55\uff1a\u8ba9\u4eba\u4eba\u75c5\u6709\u6240\u533b', 'value': 5},  [1064 urls left in queue]
crawl 69[0.28 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201012/t20101202_777820.htm', 'anchor_text': u'\u201c\u5341\u4e00\u4e94\u201d\u897f\u85cf\u519c\u7267\u533a\u536b\u751f\u4e8b\u4e1a\u53d1\u5c55\u6210\u5c31\u900f\u89c6', 'value': 6},  [1067 urls left in queue]
crawl 70[0.28 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201012/t20101203_778114.htm', 'anchor_text': u'\u65e5\u5580\u5219\u4ef2\u5df4\u53bf\u63a8\u8fdb\u7267\u533a\u536b\u751f\u4e8b\u4e1a\u79d1\u5b66\u5168\u9762\u53d1\u5c55', 'value': 5},  [1066 urls left in queue]
crawl 71[0.25 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201106/t20110619_1086511.htm', 'anchor_text': u'\u897f\u85cf\u536b\u751f\u4e8b\u4e1a\u5f97\u5230\u957f\u8db3\u53d1\u5c55', 'value': 5},  [1067 urls left in queue]
crawl 72[0.31 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201103/t20110331_979262.htm', 'anchor_text': u'\u897f\u85cf\u52a0\u5feb\u63a8\u8fdb\u516c\u5171\u536b\u751f\u4e8b\u4e1a\u53d1\u5c55', 'value': 5},  [1069 urls left in queue]
crawl 73[0.27 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201111/t20111115_1162916.htm', 'anchor_text': u'\u201c\u5341\u4e8c\u4e94\u201d\u671f\u95f4\u897f\u85cf\u5c06\u8fdb\u4e00\u6b65\u52a0\u5feb\u536b\u751f\u4e8b\u4e1a\u53d1\u5c55', 'value': 5},  [1068 urls left in queue]
crawl 74[0.25 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201202/t20120229_1702833.html', 'anchor_text': u'\u201c\u5341\u4e8c\u4e94\u201d\u56fd\u5bb6\u5c06\u6295\u8d4417\u4ebf\u5143\u53d1\u5c55\u897f\u85cf\u6587\u7269\u4e8b\u4e1a', 'value': 5},  [1076 urls left in queue]
crawl 75[0.27 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201204/t20120413_1735868.html', 'anchor_text': u'\u201c\u5341\u4e8c\u4e94\u201d\u897f\u85cf\u4e61\u9547\u7efc\u5408\u6587\u5316\u7ad9\u5efa\u8bbe\u9879\u76ee\u5f00\u5de5\u4eea\u5f0f\u5728\u897f\u85cf\u65e5\u5580\u5219\u5e02\u6c5f\u5f53\u4e61\u4e3e\u884c', 'value': 5},  [1078 urls left in queue]
crawl 76[0.27 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201102/t20110212_919621.htm', 'anchor_text': u'\u4eca\u5e74\u897f\u85cf\u536b\u751f\u5de5\u4f5c\u52a0\u5feb\u5efa\u8bbe\u5b9e\u65bd\u201c\u4e24\u4e2a\u5236\u5ea6\u201d', 'value': 4},  [1081 urls left in queue]
crawl 77[0.26 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201012/t20101216_782352.htm', 'anchor_text': u'\u5c71\u5357\u5730\u533a\u201c\u5341\u4e00\u4e94\u201d\u536b\u751f\u4e8b\u4e1a\u6210\u7ee9\u6590\u7136', 'value': 5},  [1080 urls left in queue]
